City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,tarfaya,27.9358,-12.9218,292.46,69,0,4.72,MA,1704219712
307,fougamou,-1.2154,10.5838,298.09,91,100,1.11,GA,1704219712
308,punta arenas,-53.15,-70.9167,290.16,31,40,11.32,CL,1704219712
309,mili,6.0815,171.735,300.97,79,16,9.42,MH,1704219712
310,skovorodino,53.9833,123.9167,254.43,99,100,1.39,RU,1704219712
311,artsyz,45.9919,29.4182,278.07,91,46,4.99,UA,1704219712
312,enshi,30.3,109.4833,280.64,93,50,0.41,CN,1704219712
313,montevallo,33.1007,-86.8642,284.09,52,0,1.54,US,1704219713
314,al jawf,29.5,38.75,286.32,62,0,2.78,SA,1704219713
315,ballina,-28.8667,153.5667,292.47,85,94,4.37,AU,1704219713
316,ngara,-2.5122,30.6558,288.22,95,99,1.63,TZ,1704219713
317,machico,32.7,-16.7667,294.82,88,40,6.69,PT,1704219713
318,faya-largeau,17.9257,19.1043,295.9,15,40,5.32,TD,1704219713
319,khandyga,62.6667,135.6,241.63,96,100,0.98,RU,1704219713
320,nar'yan-mar,67.6713,53.087,258.42,94,100,7.33,RU,1704219714
321,martinsville,36.6915,-79.8725,282.25,40,0,3.6,US,1704219507
322,turkmenbasy,40.0222,52.9552,280.58,70,0,2.06,TM,1704219714
323,raja,8.4596,25.678,299.18,24,56,1.91,SS,1704219714
324,nyandoma,61.669,40.1991,240.37,100,36,1.27,RU,1704219714
325,verkhnyaya sinyachikha,57.976,61.6673,246.0,98,89,1.72,RU,1704219715
326,posto fiscal rolim de moura,-13.0833,-62.2667,306.98,45,96,1.26,BR,1704219715
327,hermanus,-34.4187,19.2345,294.15,71,100,5.51,ZA,1704219715
328,santa fe de antioquia,6.5569,-75.8281,305.83,48,78,0.55,CO,1704219715
329,tromso,69.6496,18.957,264.16,67,0,6.69,NO,1704219715
330,muynoq,43.7683,59.0214,274.37,73,78,4.29,UZ,1704219715
331,tual,-5.6667,132.75,301.84,75,68,1.92,ID,1704219716
332,tumayr,25.7039,45.868,292.33,56,42,3.75,SA,1704219716
333,pacific grove,36.6177,-121.9166,287.27,84,0,2.24,US,1704219716
334,floro,61.5996,5.0328,275.13,48,0,12.35,NO,1704219716
335,yamba,-5.9,22.3,295.18,97,97,1.52,CD,1704219716
336,san jose,37.3394,-121.895,288.02,78,100,6.17,US,1704219048
337,zouerate,22.7187,-12.4521,296.97,12,70,4.02,MR,1704219716
338,mitchell,43.7094,-98.0298,274.14,75,0,4.12,US,1704219464
339,bouafle,6.9904,-5.7442,304.16,33,39,1.66,CI,1704219717
340,harper,4.375,-7.7169,301.01,74,45,3.8,LR,1704219717
341,ponta delgada,37.7333,-25.6667,291.59,77,20,2.57,PT,1704219717
342,riviere-du-loup,47.8304,-69.5342,270.64,80,77,5.14,CA,1704219571
343,xinghua,32.9392,119.8342,276.77,82,100,3.81,CN,1704219717
344,verdal,63.7933,11.4817,266.17,87,5,3.71,NO,1704219717
345,port hedland,-20.3167,118.5667,300.18,78,0,5.66,AU,1704219717
346,yanqul,23.5905,56.5501,291.52,54,0,2.97,OM,1704219717
347,nelson bay,-32.7167,152.15,294.82,94,89,2.68,AU,1704219718
348,beyneu,45.3167,55.2,274.39,70,83,5.87,KZ,1704219718
349,tamanrasset,22.785,5.5228,291.1,15,0,3.09,DZ,1704219718
350,nizhniye vyazovyye,55.7988,48.5248,247.4,97,93,2.68,RU,1704219718
351,bodden town,19.2833,-81.25,298.15,69,75,5.66,KY,1704219718
352,peskovka,59.0448,52.3606,238.67,100,49,1.27,RU,1704219718
353,katsuren-haebaru,26.3369,127.8719,289.16,82,75,2.57,JP,1704219719
354,aberdeen,57.1437,-2.0981,280.42,95,100,3.09,GB,1704219055
355,taunggyi,20.7833,97.0333,282.59,67,3,0.73,MM,1704219719
356,freetown,8.484,-13.2299,302.99,54,51,3.09,SL,1704219719
357,lashio,22.9333,97.75,283.58,88,0,0.82,MM,1704219719
358,montevideo,-34.8335,-56.1674,299.16,61,20,9.77,UY,1704219603
359,boguchany,58.3814,97.4531,261.96,95,100,1.79,RU,1704219719
360,koryazhma,61.3143,47.1691,239.21,100,30,0.7,RU,1704219719
361,prairie du chien,43.0517,-91.1412,273.77,86,100,3.6,US,1704219720
362,batang,-6.4846,110.7083,300.12,84,99,1.43,ID,1704219720
363,northam,51.0333,-4.2167,283.85,90,64,12.58,GB,1704219720
364,shingu,33.7333,135.9833,279.01,72,7,2.5,JP,1704219720
